Component#1,Component#2,Smiles#1,Smiles#2,X#1 (molar fraction),"Tmelt, K"
2-(trimethylazaniumyl)acetate,octadecan-1-ol,C[N+](C)(C)CC(=O)[O-],CCCCCCCCCCCCCCCCCCO,0.798,497.3
2-(trimethylazaniumyl)acetate,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[N+](C)(C)CC(=O)[O-],CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.797,497.3
2-(trimethylazaniumyl)acetate,"(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol",C[N+](C)(C)CC(=O)[O-],CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,0.784,497.203
2-hydroxyethyl(trimethyl)azanium;chloride,"(3S,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,0.798,496.65
2-hydroxyethyl(trimethyl)azanium;chloride,2-[4-(2-methylpropyl)phenyl]propanoic acid,C[N+](C)(C)CCO.[Cl-],CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.797,495.92
2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,C[N+](C)(C)CCO.[Cl-],CC(=O)Oc1ccccc1C(=O)O,0.696,495.55
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],OCCO,0.849,495.374
tetraethylazanium;chloride,decanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCC(=O)O,0.902,495.25
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.835,494.78
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,3R)-butane-1,2,3,4-tetrol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)CO,0.798,494.619
2-(trimethylazaniumyl)acetate,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CC(=O)[O-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.698,494.3
2-hydroxyethyl(trimethyl)azanium;chloride,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.813,494.28
2-hydroxyethyl(trimethyl)azanium;chloride,octadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCC(=O)O,0.787,493.68
tetraethylazanium;chloride,octadecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCCCCCCCC(=O)O,0.911,493.55
tetraethylazanium;chloride,dodecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCC(=O)O,0.893,493.45
2-hydroxyethyl(trimethyl)azanium;chloride,"(2S,4R)-pentane-1,2,3,4,5-pentol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)C(O)[C@@H](O)CO,0.8,492.92
2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5S)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC1OC[C@H](O)[C@H](O)[C@H]1O,0.801,492.65
2-(trimethylazaniumyl)acetate,urea,C[N+](C)(C)CC(=O)[O-],NC(N)=O,0.793,490.4
2-(trimethylazaniumyl)acetate,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CC(=O)[O-],Cc1ccc(C(C)C)c(O)c1,0.696,489.7
2-(trimethylazaniumyl)acetate,2-hydroxybenzoic acid,C[N+](C)(C)CC(=O)[O-],O=C(O)c1ccccc1O,0.796,488.8
tetraethylazanium;chloride,tetradecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCCCC(=O)O,0.9,488.45
2-hydroxyethyl(trimethyl)azanium;chloride,hexadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCO,0.86,488.25
